observation_date,Consumer Price Index Appliances,Consumer Price Index All Urban Consumers,Consumer Price Index Education,Consumer Price Index Fabric,Consumer Price Index Housing,Consumer Price Index Medical,Consumer Price Index Other Goods and Services,Consumer Price Index Recreation,Consumer Price Index Transportation,Mean Family Income US,Mean Family Income Midwest,Mean Family Income Northeast,Mean Family Income South,Mean Family Income West,Mean Personal Income US,Mean Personal Income Midwest,Mean Personal Income Northeast,Mean Personal Income South,Mean Personal Income West,Average Sale Price Midwest,Average Sale Price Northeast,Average Sale Price South,Average Sale Price US,Average Sale Price West
1975-01-01,71.8,52.3,,58.8,49.0,45.3,52.7,,48.0,15550.0,16130.0,16380.0,14150.0,16180.0,7704.0,7833.0,8072.0,7100.0,8119.0,41800.0,47300.0,38000.0,40900.0,42300.0
1975-02-01,72.0,52.6,,59.0,49.4,45.8,53.0,,48.3,15660.0,16266.67,16455.83,14259.17,16293.33,7748.83,7892.25,8097.25,7142.33,8170.08,42533.33,47000.0,38600.0,41466.67,42733.33
1975-03-01,72.1,52.8,,58.9,49.7,46.3,53.3,,48.7,15770.0,16403.33,16531.67,14368.33,16406.67,7793.67,7951.5,8122.5,7184.67,8221.17,43266.67,46700.0,39200.0,42033.33,43166.67
1975-04-01,72.1,53.0,,58.8,50.0,46.7,53.5,,48.8,15880.0,16540.0,16607.5,14477.5,16520.0,7838.5,8010.75,8147.75,7227.0,8272.25,44000.0,46400.0,39800.0,42600.0,43600.0
1975-05-01,72.2,53.1,,59.0,50.2,47.0,53.7,,48.9,15990.0,16676.67,16683.33,14586.67,16633.33,7883.33,8070.0,8173.0,7269.33,8323.33,43633.33,46733.33,39600.0,42466.67,43600.0
1975-06-01,72.2,53.5,,59.6,50.5,47.4,53.8,,49.4,16100.0,16813.33,16759.17,14695.83,16746.67,7928.17,8129.25,8198.25,7311.67,8374.42,43266.67,47066.67,39400.0,42333.33,43600.0
1975-07-01,72.6,54.0,,60.6,50.7,47.8,54.1,,50.2,16210.0,16950.0,16835.0,14805.0,16860.0,7973.0,8188.5,8223.5,7354.0,8425.5,42900.0,47400.0,39200.0,42200.0,43600.0
1975-08-01,72.6,54.2,,60.7,51.0,48.1,54.2,,50.6,16320.0,17086.67,16910.83,14914.17,16973.33,8017.83,8247.75,8248.75,7396.33,8476.58,43433.33,47500.0,39900.0,42933.33,44866.67
1975-09-01,72.7,54.6,,61.0,51.3,48.5,54.3,,51.4,16430.0,17223.33,16986.67,15023.33,17086.67,8062.67,8307.0,8274.0,7438.67,8527.67,43966.67,47600.0,40600.0,43666.67,46133.33
1975-10-01,73.0,54.9,,61.6,51.5,48.9,54.6,,51.7,16540.0,17360.0,17062.5,15132.5,17200.0,8107.5,8366.25,8299.25,7481.0,8578.75,44500.0,47700.0,41300.0,44400.0,47400.0
